"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.02520155383713,0.98,0.121,0,"0","RP11-1143G9.4"
0,4.55282191100402,0.949,0.104,0,"0","CSTA"
0,4.58692327041893,0.958,0.114,0,"0","MNDA"
0,6.1499856233265,0.917,0.081,0,"0","S100A12"
0,5.51489720388536,0.887,0.058,0,"0","VCAN"
0,4.43027832799078,0.968,0.154,0,"0","FCN1"
0,4.47743252273323,0.887,0.101,0,"0","LGALS2"
0,4.21606365550789,0.822,0.072,0,"0","MS4A6A"
0,3.9877399523513,0.836,0.103,0,"0","FGL2"
0,3.10884133624907,0.977,0.258,0,"0","AIF1"
0,2.81421571322955,0.992,0.275,0,"0","LST1"
0,5.41221828700592,0.753,0.043,0,"0","CD14"
0,3.28077446975143,0.926,0.219,0,"0","TYMP"
0,3.20635573117364,0.815,0.114,0,"0","SERPINA1"
0,3.34974423287279,0.8,0.104,0,"0","CFD"
0,2.39476794245983,0.964,0.279,0,"0","FCER1G"
0,3.80241288664819,0.756,0.104,0,"0","CYBB"
0,3.3859351271368,1,0.354,0,"0","TYROBP"
0,4.06339948774842,0.696,0.067,0,"0","CLEC7A"
0,2.83729647361062,0.837,0.213,0,"0","GRN"
0,3.42290777055035,0.733,0.111,0,"0","KLF4"
0,3.1189986559471,0.9,0.282,0,"0","AP1S2"
0,3.70648003435931,0.73,0.114,0,"0","NAMPT"
0,3.91163552545418,0.699,0.085,0,"0","TNFSF13B"
0,3.01159163259282,0.982,0.369,0,"0","LGALS1"
0,3.54577094716335,0.665,0.088,0,"0","MPEG1"
0,4.40060794329337,0.631,0.056,0,"0","CD36"
0,2.89194200498012,0.999,0.427,0,"0","CST3"
0,4.56004169356438,0.599,0.046,0,"0","CSF3R"
0,2.4258085267969,0.967,0.42,0,"0","S100A11"
0,2.85803862497078,0.989,0.462,0,"0","GPX1"
0,5.21856081171316,0.539,0.028,0,"0","RBP7"
0,5.48739918258747,0.997,0.507,0,"0","S100A8"
0,2.28941212318091,0.975,0.5,0,"0","PSAP"
0,3.27696535450662,1,0.53,0,"0","CTSS"
0,4.61443078339093,1,0.537,0,"0","LYZ"
0,2.15653147926239,0.983,0.554,0,"0","SRGN"
0,2.53072967669805,0.991,0.597,0,"0","NEAT1"
0,5.20087192097452,0.996,0.604,0,"0","S100A9"
0,1.87421353413654,1,0.809,0,"0","S100A4"
0,2.44476930642769,1,0.868,0,"0","S100A6"
0,1.88406082010388,1,0.989,0,"0","FTH1"
0,2.68313532493945,1,0.994,0,"0","FTL"
0,1.09014981140587,1,0.998,0,"0","MT-CO1"
3.57913543037534e-315,0.966860562714995,1,0.998,5.96105005929013e-311,"0","MT-CO2"
2.66160693370375e-313,2.87000229232152,0.684,0.099,4.43290634808359e-309,"0","CD68"
3.15697252653521e-313,2.01942688158596,0.979,0.617,5.25793774294439e-309,"0","SAT1"
1.0689438719415e-312,2.654355152554,0.869,0.254,1.78032601871856e-308,"0","RGS2"
2.4421909926343e-312,3.95582852039572,0.585,0.064,4.06746909823243e-308,"0","CD302"
1.66632600963241e-310,2.24761519920719,0.937,0.497,2.77526596904279e-306,"0","GSTP1"
2.73360918515722e-309,4.35798466135462,0.559,0.054,4.55282609787934e-305,"0","IL1B"
8.62805174259721e-308,4.3332609517194,0.545,0.05,1.43700201772957e-303,"0","KCTD12"
2.38867513184298e-306,2.57330584964034,0.776,0.161,3.97833843208449e-302,"0","SPI1"
4.25384283199114e-306,3.1659068881253,0.696,0.122,7.08477523668125e-302,"0","CFP"
6.25693411842431e-301,3.63390457631944,0.632,0.099,1.04209237742357e-296,"0","BLVRB"
7.43445519867727e-301,2.31797789768729,0.899,0.366,1.2382085133397e-296,"0","NPC2"
3.01876731738574e-300,3.5025005493251,0.584,0.065,5.02775696710595e-296,"0","CPVL"
2.33186134564329e-299,3.66262681616522,0.605,0.077,3.88371507116889e-295,"0","DUSP6"
6.15512488287497e-299,5.02132741133017,0.475,0.028,1.02513604924283e-294,"0","MGST1"
5.85097703682688e-297,5.1002709984435,0.536,0.054,9.74480225483517e-293,"0","CXCL8"
2.36905642469776e-295,2.22014208429174,0.927,0.481,3.94566347533411e-291,"0","TSPO"
9.7893758543183e-287,2.58285247320997,0.817,0.244,1.63042054853671e-282,"0","STXBP2"
2.31598804498181e-285,3.19181564915604,0.635,0.099,3.8572780889172e-281,"0","LGALS3"
4.70175956310727e-285,3.10731341040936,0.665,0.116,7.83078055235515e-281,"0","RNF130"
4.51038293641646e-279,4.53715847988285,0.487,0.04,7.51204278060162e-275,"0","PLBD1"
4.76648244001366e-276,0.883094597934461,1,0.999,7.93857650384274e-272,"0","MT-CO3"
1.79025092836201e-271,1.21761451324459,0.994,0.93,2.98166292118694e-267,"0","OAZ1"
6.42820823294696e-271,1.23753364031873,0.991,0.932,1.07061808119732e-266,"0","H3F3A"
1.53962067750513e-270,2.96003763898085,0.594,0.079,2.56423823838479e-266,"0","IFI30"
1.19453430638403e-267,3.96268530020139,0.512,0.054,1.9894968872826e-263,"0","CLEC4A"
2.67538858489136e-263,1.53865956208881,0.971,0.626,4.45585968813656e-259,"0","COTL1"
4.00884629680983e-263,3.94435478397437,0.485,0.044,6.67673350733678e-259,"0","CDA"
4.29915170987469e-262,3.44413846424577,0.585,0.093,7.16023717279629e-258,"0","NUP214"
4.06992352010168e-259,1.65751684612993,0.958,0.698,6.77845762272936e-255,"0","C14orf2"
1.89763759032076e-256,1.29168134802408,0.994,0.894,3.16051540667922e-252,"0","CYBA"
1.98370440324424e-255,3.35715396288652,0.552,0.076,3.30385968360329e-251,"0","NCF2"
4.01516044185753e-255,0.978602652552704,1,0.989,6.68724971591372e-251,"0","MT-ND3"
5.60567236530238e-248,2.29881562989178,0.83,0.355,9.33624732441112e-244,"0","TKT"
6.49180766944135e-241,3.39757772182027,0.51,0.065,1.08121056734546e-236,"0","TGFBI"
7.35319950105211e-240,4.45592349271779,0.423,0.033,1.22467537690023e-235,"0","ASGR1"
1.2107063848018e-237,4.12036942287415,0.447,0.043,2.01643148388739e-233,"0","CLEC12A"
1.84393708030579e-237,4.93361629830158,0.396,0.026,3.07107720724929e-233,"0","HNMT"
6.35484278964383e-232,1.34288360491131,0.98,0.862,1.05839906661518e-227,"0","GAPDH"
3.34880784960626e-231,3.17665698492049,0.577,0.109,5.57743947351923e-227,"0","GCA"
3.77470817473095e-231,1.2888985837675,0.999,0.913,6.28677646501439e-227,"0","FOS"
1.60092164296607e-229,0.838168832695299,1,0.996,2.66633499636e-225,"0","MT-ND4"
1.79433119285115e-226,0.976115739509299,0.997,0.964,2.98845860169359e-222,"0","ATP5E"
5.53506116639429e-226,2.15493342306229,0.802,0.297,9.21864437262969e-222,"0","PYCARD"
3.70151797964778e-221,5.2101623308512,0.35,0.017,6.16487819510337e-217,"0","QPCT"
1.48593195517034e-217,3.34424225975385,0.476,0.061,2.47481967133621e-213,"0","IGSF6"
8.50090459584755e-217,2.78545440165985,0.575,0.109,1.41582566043841e-212,"0","CEBPD"
9.9468978086939e-212,0.9311399302279,0.993,0.968,1.65665583003797e-207,"0","MT-ND1"
1.13280893975298e-209,2.36271973732284,0.711,0.225,1.88669328915858e-205,"0","FCGRT"
1.69986179182897e-209,0.945958588119268,0.994,0.963,2.83111981429116e-205,"0","SERF2"
4.39102633477256e-208,2.37730672835613,0.818,0.395,7.31325436056369e-204,"0","NFKBIA"
1.05177306010043e-206,2.82441494108464,0.576,0.12,1.75172803159727e-202,"0","RHOB"
3.56843572565585e-206,6.45693661231783,0.294,0.007,5.94322970107983e-202,"0","CLEC4E"
1.0464827342095e-205,3.56981568202824,0.454,0.061,1.74291699382593e-201,"0","PLAUR"
1.77663554089709e-205,4.82655598245617,0.346,0.021,2.9589864933641e-201,"0","CD93"
2.3341484783804e-205,3.32120458067002,0.458,0.062,3.88752429074256e-201,"0","SLC7A7"
4.15311524026618e-205,2.3058731926064,0.759,0.292,6.91701343266333e-201,"0","CTSD"
3.36456467288484e-203,0.637503751071861,0.999,0.999,5.60368246268971e-199,"0","RPS24"
8.67429699276612e-201,3.44552059625263,0.426,0.051,1.4447041641452e-196,"0","RAB32"
1.62073283344626e-199,1.4876042667582,0.952,0.679,2.69933053410474e-195,"0","TCEB2"
4.06801849871922e-199,3.80545999170224,0.412,0.047,6.77528480961685e-195,"0","RAB31"
5.31925818592324e-199,4.03839451461385,0.383,0.037,8.85922450865516e-195,"0","TNFAIP2"
1.93373440885501e-198,3.08088988206729,0.502,0.088,3.22063465794802e-194,"0","CCL3"
1.4859654032479e-197,2.24371052385531,0.794,0.363,2.47487537910938e-193,"0","JUND"
2.16088261834182e-193,3.87227018882434,0.405,0.048,3.5989500008483e-189,"0","SGK1"
1.18232426502957e-191,2.74142846047353,0.52,0.097,1.96916106340676e-187,"0","RNASE6"
3.43459476809208e-191,2.38913360643965,0.634,0.169,5.72031758625735e-187,"0","APLP2"
1.70111906530548e-190,0.514380412377929,1,1,2.83321380326627e-186,"0","TMSB4X"
3.81082213107752e-190,3.41222736683316,0.444,0.066,6.34692425930961e-186,"0","MARCKS"
1.64291699396907e-189,3.53724827682682,0.417,0.054,2.73627825345548e-185,"0","NAIP"
1.12506286897163e-187,0.840740077578376,1,0.985,1.87379220827225e-183,"0","MT-ATP6"
6.28355003859376e-184,2.73646633012723,0.415,0.055,1.04652525892779e-179,"0","RGS18"
