"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.56843572565585e-206,6.45693661231783,0.294,0.007,5.94322970107983e-202,"0","CLEC4E"
0,6.1499856233265,0.917,0.081,0,"0","S100A12"
0,5.51489720388536,0.887,0.058,0,"0","VCAN"
0,5.48739918258747,0.997,0.507,0,"0","S100A8"
0,5.41221828700592,0.753,0.043,0,"0","CD14"
1.61804702374875e-165,5.27454678058623,0.261,0.011,2.69485731805354e-161,"0","FAM198B"
0,5.21856081171316,0.539,0.028,0,"0","RBP7"
3.70151797964778e-221,5.2101623308512,0.35,0.017,6.16487819510337e-217,"0","QPCT"
0,5.20087192097452,0.996,0.604,0,"0","S100A9"
5.85097703682688e-297,5.1002709984435,0.536,0.054,9.74480225483517e-293,"0","CXCL8"
8.02578046941021e-138,3.09669448538285,0.41,0.071,1.33669373718027e-133,"1","FHIT"
1.384748414067e-100,2.10603835996616,0.491,0.145,2.30629848362858e-96,"1","MAL"
4.04789411391275e-138,2.10508759942326,0.635,0.196,6.74176764672168e-134,"1","LEF1"
2.18481628462965e-122,2.07733782627438,0.602,0.188,3.63881152205069e-118,"1","CCR7"
9.23312736185056e-46,1.77635011766065,0.325,0.118,1.53777736211621e-41,"1","CAMK4"
2.41096295238768e-39,1.65783247443846,0.315,0.122,4.01545879720168e-35,"1","TRABD2A"
1.30729079096234e-60,1.65273435047403,0.446,0.173,2.17729281234777e-56,"1","TRAT1"
1.23990834415095e-44,1.64242337633384,0.436,0.208,2.0650673471834e-40,"1","SOCS3"
1.0193351783738e-32,1.59110265330327,0.298,0.126,1.69770273958157e-28,"1","OXNAD1"
8.74142931145357e-59,1.55975540979578,0.467,0.194,1.45588505182259e-54,"1","LDLRAP1"
1.31225377741476e-123,2.42865602279596,0.651,0.203,2.18555866628428e-119,"2","ITGB1"
1.17015517323819e-112,2.39082302151763,0.508,0.114,1.94889344102821e-108,"2","AQP3"
3.6083676237641e-93,2.26057567555988,0.377,0.07,6.00973627737911e-89,"2","CD40LG"
3.75454067162045e-55,2.06860369221736,0.327,0.086,6.25318748858386e-51,"2","GATA3"
3.60156779054446e-90,2.02381343341675,0.456,0.106,5.99841115515179e-86,"2","OPTN"
2.16430918980839e-141,1.99973353971918,0.847,0.336,3.60465695562587e-137,"2","IL7R"
1.51590927746828e-82,1.90693501147787,0.518,0.158,2.52474690162341e-78,"2","TRADD"
1.43249810441703e-53,1.87373962038895,0.361,0.106,2.38582559290657e-49,"2","RP11-138A9.1"
1.08126203707043e-52,1.87064345427742,0.288,0.07,1.80084192274081e-48,"2","INPP4B"
1.92250374243342e-46,1.7224687860917,0.341,0.104,3.20192998302286e-42,"2","TNFRSF25"
0,5.95790059753809,0.958,0.051,0,"3","TCL1A"
0,5.90899764800327,0.672,0.027,0,"3","FCER2"
0,5.75681752661378,0.953,0.056,0,"3","IGHD"
0,5.0573001563815,0.769,0.047,0,"3","LINC00926"
1.94340004453223e-221,4.86381952164916,0.417,0.024,3.23673277416843e-217,"3","FCRL1"
1.66279104269549e-168,4.77259256224178,0.323,0.019,2.76937848160934e-164,"3","RP11-693J15.5"
5.31838570848609e-243,4.69946065175284,0.467,0.029,8.85777139748358e-239,"3","TSPAN13"
1.51080364063522e-229,4.5692953661074,0.479,0.036,2.51624346347795e-225,"3","RP11-231C14.7"
1.3129300368569e-274,4.36091293720107,0.643,0.067,2.18668497638516e-270,"3","PLPP5"
1.71671349654466e-166,4.31145233253139,0.395,0.036,2.85918632849514e-162,"3","CD40"
2.8439721936518e-81,3.72785384531169,0.332,0.061,4.73663568852708e-77,"4","GZMH"
2.68898068839708e-217,3.68040330889158,0.628,0.081,4.47849733652534e-213,"4","TRGC2"
5.72724800819067e-180,3.45506769093257,0.628,0.108,9.53873155764157e-176,"4","GZMK"
3.24729740415288e-243,3.26128126606267,0.946,0.263,5.40837382661663e-239,"4","CCL5"
